2003     1     1      1366.839000
  3.813746E+00  3.801880E+00  3.786006E+00  3.770078E+00  3.756248E+00
  3.741446E+00  3.724961E+00  3.711289E+00  3.696362E+00  3.683999E+00
  3.670406E+00  3.657574E+00  3.642399E+00  3.629283E+00  3.614138E+00
  3.602144E+00  3.587443E+00  3.572124E+00  3.560918E+00  3.545376E+00
  3.525411E+00  3.500229E+00  3.475746E+00  3.451710E+00  3.427522E+00
  3.402201E+00  3.376746E+00  3.348957E+00  3.322118E+00  3.295604E+00
  3.268334E+00  3.245047E+00  3.222609E+00  3.200223E+00  3.179759E+00
  3.157984E+00  3.137586E+00  3.115253E+00  3.092815E+00  3.070440E+00
  3.046655E+00  3.022739E+00  3.001794E+00  2.980087E+00  2.959359E+00
  2.939122E+00  2.918413E+00  2.898209E+00  2.877600E+00  2.857206E+00
  2.837510E+00  2.817899E+00  2.797436E+00  2.778089E+00  2.758537E+00
  2.739205E+00  2.721164E+00  2.701655E+00  2.682574E+00  2.663938E+00
  2.645126E+00  2.627429E+00  2.609141E+00  2.590077E+00  2.571586E+00
  2.554496E+00  2.537506E+00  2.519973E+00  2.503676E+00  2.486689E+00
  2.470858E+00  2.454817E+00  2.438347E+00  2.422649E+00  2.406555E+00
  2.390233E+00  2.372812E+00  2.357934E+00  2.342566E+00  2.326880E+00
  2.310951E+00  2.295404E+00  2.280765E+00  2.266656E+00  2.252196E+00
  2.236859E+00  2.222486E+00  2.207525E+00  2.193842E+00  2.178989E+00
  2.164925E+00  2.150661E+00  2.137455E+00  2.123057E+00  2.110043E+00
  2.095844E+00  2.083161E+00  2.068741E+00  2.055900E+00  2.042137E+00
  2.029443E+00  2.015619E+00  2.003226E+00  1.989464E+00  1.976890E+00
  1.962891E+00  1.949590E+00  1.935194E+00  1.923185E+00  1.910409E+00
  1.898343E+00  1.884966E+00  1.873408E+00  1.861718E+00  1.851164E+00
  1.840878E+00  1.830108E+00  1.818007E+00  1.806433E+00  1.795744E+00
  1.785163E+00  1.774228E+00  1.762766E+00  1.751817E+00  1.740334E+00
  1.729161E+00  1.717897E+00  1.707392E+00  1.696295E+00  1.685916E+00
  1.675293E+00  1.665180E+00  1.654817E+00  1.644766E+00  1.635145E+00
  1.625507E+00  1.616012E+00  1.605439E+00  1.595317E+00  1.584956E+00
  1.575120E+00  1.565330E+00  1.555633E+00  1.545974E+00  1.536270E+00
  1.526592E+00  1.516877E+00  1.508160E+00  1.499275E+00  1.490599E+00
  1.481629E+00  1.472431E+00  1.463599E+00  1.454741E+00  1.446164E+00
  1.437663E+00  1.429385E+00  1.421024E+00  1.412406E+00  1.403903E+00
  1.395351E+00  1.387218E+00  1.378534E+00  1.369655E+00  1.361341E+00
  1.353125E+00  1.345041E+00  1.336895E+00  1.328943E+00  1.321088E+00
  1.313256E+00  1.305462E+00  1.297861E+00  1.290758E+00  1.283667E+00
  1.276060E+00  1.268608E+00  1.261115E+00  1.253671E+00  1.246276E+00
  1.239011E+00  1.231826E+00  1.224613E+00  1.217460E+00  1.210240E+00
  1.203092E+00  1.196088E+00  1.189014E+00  1.182097E+00  1.175244E+00
  1.168242E+00  1.161216E+00  1.154268E+00  1.147538E+00  1.140873E+00
  1.134302E+00  1.127872E+00  1.121420E+00  1.115048E+00  1.108718E+00
  1.102391E+00  1.096208E+00  1.090097E+00  1.084108E+00  1.077999E+00
  1.071893E+00  1.065854E+00  1.059801E+00  1.053685E+00  1.047701E+00
  1.041802E+00  1.035937E+00  1.030102E+00  1.024335E+00  1.018628E+00
  1.012820E+00  1.006913E+00  1.001258E+00  9.956790E-01  9.901525E-01
  9.847132E-01  9.792785E-01  9.738400E-01  9.684109E-01  9.630390E-01
  9.577241E-01  9.523954E-01  9.471789E-01  9.422342E-01  9.371999E-01
  9.320534E-01  9.269258E-01  9.218760E-01  9.168531E-01  9.118299E-01
